"stageid","traversedpath","cr9a7_ai","adx_createdbyipaddress","adx_createdbyusername","fax","donotfax","ftpsiteurl","adx_modifiedbyipaddress","adx_modifiedbyusername","utcconversiontimezonecode","websiteurl","importsequencenumber","aging30","aging30_base","aging60","aging60_base","aging90","aging90_base","entityimageid","accountcategorycode","lastusedincampaign","creditonhold","statuscode","telephone2","timezoneruleversionnumber","donotbulkpostalmail","versionnumber","yominame","processid","marketingonly","donotsendmm","participatesinworkflow","businesstypecode","primarysatoriid","primarytwitterid","telephone1","ownershipcode","address1_composite","address1_fax","address1_addresstypecode","address1_primarycontactname","address1_county","address1_country","address1_city","address1_line2","address1_line3","address1_name","address1_line1","address1_postofficebox","address1_longitude","address1_latitude","address1_freighttermscode","address1_postalcode","address1_stateorprovince","address1_telephone2","address1_telephone3","address2_composite","address2_fax","address2_addresstypecode","address2_primarycontactname","address2_county","address2_country","address2_city","address2_line2","address2_line3","address2_name","address2_line1","address2_postofficebox","address2_longitude","address2_latitude","address2_postalcode","address2_stateorprovince","address2_telephone1","address2_telephone2","address2_telephone3","onholdtime","preferredcontactmethodcode","accountclassificationcode","creditlimit","creditlimit_base","lastonholdtime","cr72a_businesspartner","accountid","name","accountnumber","accountratingcode","revenue","revenue_base","preferredappointmenttimecode","preferredappointmentdaycode","numberofemployees","territorycode","paymenttermscode","entityimage","marketcap","marketcap_base","sharesoutstanding","tickersymbol","industrycode","sic","exchangerate","statecode","shippingmethodcode","merged","timespentbymeonemailandmeetings","address1_telephone1","stockexchange","description","donotpostalmail","customertypecode","emailaddress1","emailaddress2","emailaddress3","donotemail","donotbulkemail","followemail","telephone3","donotphone","customersizecode","cr9a7_it_anken","msa_managingpartnerid","slaid","masterid","createdbyexternalparty","modifiedbyexternalparty","parentaccountid","primarycontactid","owningbusinessunit","slainvokedid","cr72a_table","transactioncurrencyid","preferredsystemuserid.azureactivedirectoryobjectid"
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","14290328","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","721f513a-a34c-f011-877a-00224863cb6d","株式会社BTMAIZ","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","14290312","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","63df1a20-a34c-f011-877a-00224863cb6d","HISホールディングス株式会社","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","14133038","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","439a1ffe-d245-f011-877a-00224863cb6d","株式会社日本ブレーン","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","13917342","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","8e62b3fb-bc42-f011-877a-00224863cb6d","ビルドアップ株式会社","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","12769235","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","16e7d5d7-d339-f011-8c4e-00224863cb6d","株式会社Cloud Soft","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","9819742","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","29927d2c-7321-f011-998a-00224863cb6d","ビットクロス株式会社","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","8846460","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","adc26945-1b15-f011-998a-00224863cb6d","株式会社Daphne","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","8846425","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","0185f1fa-1a15-f011-998a-00224863cb6d","株式会社アップロード","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","8846258","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","94f15b54-1715-f011-998a-00224863cb6d","株式会社ヘルスベイシス","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","8308379","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","4e244114-1f09-f011-bae2-00224863cb6d","アッシュウェイブ株式会社","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
